Job_ID,Job_Text,Sentences
5577404285,"Service Porter/Detailer Motor City Harley-Davidson is currently looking for a motorcycle enthusiast to join our service team. This position offers a great work/life balance, an exciting work atmosphere with some of the industries top professionals, full time hours and benefits, and employee discounts. Motor City Harley-Davidson® is your premier destination for the best quality New & Pre-owned motorcycles in Michigan. Motor City Harley-Davidson® is located in Farmington Hills, Michigan at 24800 Haggerty Road.   *Requirements:* * Passion for Motorcycles & current motorcycle endorsement  * 1 year automotive/powersports detailing experience required * 1+ year riding experience preferred not required * Can lift 50+ lbs above head * Porter experience preferred not required * Minimal computer skills required   *_Email your resume for consideration (must meet the above requirements for consideration)_*    To learn more about our dealership visit: www.motorcityharley.com   Motor City Harley-Davidson® proudly serves: Detroit, MI Hazel Park, MI Hamtramck, MI Dearborn, MI Romulus, MI Belleville, MI Wayne, MI Ypsilanti, MI Royal Oak, MI Ferndale, MI Madison Heights, MI Sterling Heights, MI Warren, MI Southfield, MI Bloomfield Hills, MI Pontiac, MI Farmington Hills, MI Livonia, MI Garden City, MI Westland, MI Inkster, MI Redford, MI Novi, MI Northville, MI South Lyon, MI New Hudson, MI Wixom, MI Walled Lake, MI MIlford, MI and all areas in between.   Job Type: Full-time  Job Type: Full-time    Experience: * riding: 1 year (Required) * detailing: 1 year (Required)  License: * Motorcycle Endorsement (Required)",Service Porter/Detailer Motor City Harley-Davidson is currently looking for a motorcycle enthusiast to join our service team.
5577404285,,"This position offers a great work/life balance, an exciting work atmosphere with some of the industries top professionals, full time hours and benefits, and employee discounts."
5577404285,,Motor City Harley-Davidson® is your premier destination for the best quality New & Pre-owned motorcycles in Michigan.
5577404285,,"Motor City Harley-Davidson® is located in Farmington Hills, Michigan at 24800 Haggerty Road."
5577404285,,"Requirements:* * Passion for Motorcycles & current motorcycle endorsement * 1 year automotive/powersports detailing experience required * 1+ year riding experience preferred not required * Can lift 50+ lbs above head * Porter experience preferred not required * Minimal computer skills required *_Email your resume for consideration (must meet the above requirements for consideration)_* To learn more about our dealership visit: www.motorcityharley.com Motor City Harley-Davidson® proudly serves: Detroit, MI Hazel Park, MI Hamtramck, MI Dearborn, MI Romulus, MI Belleville, MI Wayne, MI Ypsilanti, MI Royal Oak, MI Ferndale, MI Madison Heights, MI Sterling Heights, MI Warren, MI Southfield, MI Bloomfield Hills, MI Pontiac, MI Farmington Hills, MI Livonia, MI Garden City, MI Westland, MI Inkster, MI Redford, MI Novi, MI Northville, MI South Lyon, MI New Hudson, MI Wixom, MI Walled Lake, MI MIlford, MI and all areas in between."
5577404285,,Job Type: Full-time Job Type: Full-time Experience: * riding: 1 year (Required) * detailing: 1 year (Required) License: * Motorcycle Endorsement (Required)
5579513721,"Opening for HR Executive-Recruitments Hi,   The Sachdev Group (TSG) is a family based organization with a vision to be the most preferred consumer focused organization providing world class products and services. and has set milestones in the industry with establishment of Harpreet Ford, Hans Hyundai and Galaxy Toyota.  We would like to inform you that currently we have requirement in our organization for HR Executive/ Sr. HR Executive- Recruitment.  *Duties & Responsibilities:* Participate in a variety of recruitment activities so that the organization's recruitment process is efficient, effective and equitable. \* Ensure that all open positions are closed as per the pre decided timelines \* Contact candidates, arrange interview times and develop appropriate interview questions in collaboration with the hiring manager so that interviews are conducted efficiently and equitably. \* Interview, test, rank, check references, select candidates and provide feedback to unsuccessful candidates based on the job's pre-established selection criteria and the organization's recruitment policies. Overall responsibility of recruitment: process  Job Location: - Moti Nagar  If interested, kindly attend the interviews on 12th Sep. at the below mentioned address b/w 11 am - 3 pm:  Galaxy Toyota, 69/ 1A, Moti Nagar crossing, New Delhi-110027 (near moti nagar metro station or opp. to fire station)  Kindly confirm your timings for an interview to fix up the appointment.  Regards, Shweta Singh Deputy Manager-Recruitments (www.thesachdevgroup.com)  Job Type: Full-time    Experience: * Recruitments: 2 years (Required)","Opening for HR Executive-Recruitments Hi, The Sachdev Group (TSG) is a family based organization with a vision to be the most preferred consumer focused organization providing world class products and services."
5579513721,,"and has set milestones in the industry with establishment of Harpreet Ford, Hans Hyundai and Galaxy Toyota."
5579513721,,We would like to inform you that currently we have requirement in our organization for HR Executive/ Sr.
5579513721,,HR Executive- Recruitment.
5579513721,,"Duties & Responsibilities:* Participate in a variety of recruitment activities so that the organization's recruitment process is efficient, effective and equitable. \*"
5579513721,,"Ensure that all open positions are closed as per the pre decided timelines \* Contact candidates, arrange interview times and develop appropriate interview questions in collaboration with the hiring manager so that interviews are conducted efficiently and equitably. \*"
5579513721,,"Interview, test, rank, check references, select candidates and provide feedback to unsuccessful candidates based on the job's pre-established selection criteria and the organization's recruitment policies."
5579513721,,"Overall responsibility of recruitment: process Job Location: - Moti Nagar If interested, kindly attend the interviews on 12th Sep. at the below mentioned address b/w 11 am - 3 pm: Galaxy Toyota, 69/ 1A, Moti Nagar crossing, New Delhi-110027 (near moti nagar metro station or opp."
5579513721,,to fire station) Kindly confirm your timings for an interview to fix up the appointment.
5579513721,,"Regards, Shweta Singh Deputy Manager-Recruitments (www.thesachdevgroup.com) Job Type: Full-time Experience: * Recruitments: 2 years (Required)"
5612123637,"Content Architect Role : Content Architect  Location: NJ   The Sr Architect for Content Architecture, Assessment and Interactive Content is responsible for the complex analysis, documentation and maintenance of semantic markup standards for assessment and interactive content, as well as developing related lifecycles, workflows and application framework solutions for specific targeted process areas within PearsonResponsibilities include:'- Expert in XML/semantic markup designed for reuse and multi-channel publishing from single source content.- *Technologies & Standards: XML, XSL, XSL-FO, CSS3, HTML5, UML, QTI, RDFa, EPUB 3, DITA* - Strong enterprise content management skills and strategies.- Strong analytical and content analysis skills.- Strong understanding of major architectural domains in IT (applications, data and infrastructure) with in-depth understanding and experience in the application area.- Business-facing - strong customer-relationship and english language skills- Digital publishing (multi device / multi format etc.)- XHTML 5.0 spec’s, XML first workflows- Knowledge on Semantic frameworks – RDFa, OWL ontologies , Microdata- Help fix content spec errors    Experience: * 8: 8 years (Required)","Content Architect Role : Content Architect Location: NJ The Sr Architect for Content Architecture, Assessment and Interactive Content is responsible for the complex analysis, documentation and maintenance of semantic markup standards for assessment and interactive content, as well as developing related lifecycles, workflows and application framework solutions for specific targeted process areas within PearsonResponsibilities include:'- Expert in XML/semantic markup designed for reuse and multi-channel publishing from single source content.- *Technologies & Standards: XML, XSL, XSL-FO, CSS3, HTML5, UML, QTI, RDFa, EPUB 3, DITA* - Strong enterprise content management skills and strategies.- Strong analytical and content analysis skills.- Strong understanding of major architectural domains in IT (applications, data and infrastructure) with in-depth understanding and experience in the application area.- Business-facing - strong customer-relationship and english language skills- Digital publishing (multi device / multi format etc.)- XHTML 5.0 spec’s, XML first workflows- Knowledge on Semantic frameworks – RDFa, OWL ontologies , Microdata- Help fix content spec errors Experience: * 8: 8 years (Required)"
5626705964,"Interpreter and Translator (09L) The interpreter/translator is primarily responsible for interpreting and preparing translations between English and a foreign language.    Job Duties •Prepare nontechnical translations into the target language and perform sight translations from a target language into English •Assist military contracting officers with local purchases •Provide interpretation support at military traffic control points and local media events   Requirements Proficient in one or more of the following target languages: •Pushtu/Pashto/Pachto •Pushtu-Afghan •Persian-Afghan (Dari) •Persian-Iranian (Farsi) •Arabic-Modern Standard •Arabic-Gulf-Iraqi •Arabic-Egyptian •Arabic-Levantine •Arabic-Libyan •Arabic-Moroccan •Arabic-Tunisian Ages 17-35   Training Some interpreters/translators will require English language training prior to their nine weeks of Basic Combat Training. After completing Basic Combat Training, you’ll attend Advanced Individual Training to learn the skills that are required to perform Interpreter support in the following areas: •Checkpoint Operations •Medical Support •Locally Employed Personnel Screening •Training Host-Nation Forces •VIP Escort •Contract Negotiations •Cultural Awareness   Helpful Skills •Ability to listen, read and speak in English •Fluency in a foreign language(s) •Interest in other cultures   Compensation   In addition to all regular benefits, linguists are paid a Foreign Language Proficiency Bonus as an incentive to maintain and improve their language skills. Linguists are paid up to $400 for each language they demonstrate proficiency in and can receive up to $1,000 a month.   Total compensation includes housing, medical, food, special pay, and vacation time. Learn more about total compensation.   Education Benefits   In the Army, qualified students can earn full-tuition, merit-based scholarships, allowances for books and fees, plus an annual stipend for living expenses. Learn more about education benefits.   Future Civilian Careers   The skills you learn will help prepare you for a career as a translator or an interpreter with government agencies, universities and companies that conduct business overseas.   PARTNERSHIP FOR YOUTH SUCCESS (PaYS) Program   Those interested in this job may be eligible for civilian employment, after the Army, by enrolling in the Army PaYS program. The PaYS program is a recruitment option that guarantees a job interview with military friendly employers that are looking for experience and trained Veterans to join their organization. Find out more about the Army PaYS Program at http://www.armypays.com.   •AAI CORPORATION •CONCURRENT TECHNOLOGIES •GENERAL DYNAMICS LAND SYSTEMS •LOCKHEED MARTIN •URS",Interpreter and Translator (09L) The interpreter/translator is primarily responsible for interpreting and preparing translations between English and a foreign language.
5626705964,,Job Duties •Prepare nontechnical translations into the target language and perform sight translations from a target language into English •Assist military contracting officers with local purchases •Provide interpretation support at military traffic control points and local media events Requirements Proficient in one or more of the following target languages: •Pushtu/Pashto/Pachto •Pushtu-Afghan •Persian-Afghan (Dari) •Persian-Iranian (Farsi) •Arabic-Modern Standard •Arabic-Gulf-Iraqi •Arabic-Egyptian •Arabic-Levantine •Arabic-Libyan •Arabic-Moroccan •Arabic-Tunisian Ages 17-35 Training Some interpreters/translators will require English language training prior to their nine weeks of Basic Combat Training.
5626705964,,"After completing Basic Combat Training, you’ll attend Advanced Individual Training to learn the skills that are required to perform Interpreter support in the following areas: •Checkpoint Operations •Medical Support •Locally Employed Personnel Screening •Training Host-Nation Forces •VIP Escort •Contract Negotiations •Cultural Awareness Helpful Skills •Ability to listen, read and speak in English •Fluency in a foreign language(s) •Interest in other cultures Compensation In addition to all regular benefits, linguists are paid a Foreign Language Proficiency Bonus as an incentive to maintain and improve their language skills."
5626705964,,"Linguists are paid up to $400 for each language they demonstrate proficiency in and can receive up to $1,000 a month."
5626705964,,"Total compensation includes housing, medical, food, special pay, and vacation time."
5626705964,,Learn more about total compensation.
5626705964,,"Education Benefits In the Army, qualified students can earn full-tuition, merit-based scholarships, allowances for books and fees, plus an annual stipend for living expenses."
5626705964,,Learn more about education benefits.
5626705964,,"Future Civilian Careers The skills you learn will help prepare you for a career as a translator or an interpreter with government agencies, universities and companies that conduct business overseas."
5626705964,,"PARTNERSHIP FOR YOUTH SUCCESS (PaYS) Program Those interested in this job may be eligible for civilian employment, after the Army, by enrolling in the Army PaYS program."
5626705964,,The PaYS program is a recruitment option that guarantees a job interview with military friendly employers that are looking for experience and trained Veterans to join their organization.
5626705964,,Find out more about the Army PaYS Program at http://www.armypays.com.
5626705964,,AAI CORPORATION •CONCURRENT TECHNOLOGIES •GENERAL DYNAMICS LAND SYSTEMS •LOCKHEED MARTIN •URS
